doi,id,style,reference string
10.1111/jomf.12477,1,mcgill-en,"Augustine, Jennifer March, Kate C Prickett & Daniela V Negraia. “Doing It All? Mothers’ College Enrollment, Time Use, and Affective Well-being” (2018) 80:4 Journal of Marriage and Family 963, online: <http://dx.doi.org/10.1111/jomf.12477>."
10.1097/cco.0b013e3283592331,2,council-of-science-editors,"1. Falanga A, Marchetti M, Russo L. Venous thromboembolism in the hematologic malignancies. Current Opinion in Oncology [Internet]. 2012 November;24(6):702–710. Available from: http://dx.doi.org/10.1097/cco.0b013e3283592331"
10.1097/cco.0b013e3283592331,2,mcgill-en,"Falanga, Anna, Marina Marchetti & Laura Russo. “Venous thromboembolism in the hematologic malignancies” (2012) 24:6 Current Opinion in Oncology 702, online: <http://dx.doi.org/10.1097/cco.0b013e3283592331>."
10.1097/cco.0b013e3283592331,2,turabian-fullnote-bibliography,"Falanga, Anna, Marinaa Marchetti, and Laura Russo. “Venous Thromboembolism in the Hematologic Malignancies.” Current Opinion in Oncology 24, no. 6 (November 2012): 702–710. http://dx.doi.org/10.1097/cco.0b013e3283592331."
10.2307/1112585,3,american-medical-association,1. Income and Capital under a Trust of Corporate Stock. Columbia Law Review. 1923;23(4):369. doi:10.2307/1112585.
10.2307/1112585,3,american-sociological-association,Anon. 1923. “Income and Capitall Under a Trust of Corporate Stock.” Columbia Law Review 23(4):369. Retrieved (http://dx.doi.org/10.2307/1112585).
10.2307/1112585,3,ieee,"[1]“Income and Capital under a Trust of Corporate Stock,” Columbia Law Review, vol. 23, no. 4, p. 369, Apr. 1923."
10.2307/1112585,3,american-chemical-society-author-date,"Income and Capital Under a Trust of Corporate Stock. Columbia Law Review 1923, 23, 369."
10.2307/1112585,3,mcgill-en,"“Income and Capital under a Trust of Corporate Stock” (1923) 23:4 Columbia Law Review 369, online: <http://dx.doi.org/10.2307/1112585>."
10.2307/1112585,3,apa,"Income and Capital under a Trust of Corporate Stock. (1923). Columbia Law Review, 23(4), 369. doi:10.2307/1112585"
10.2307/1112585,3,iso690-author-date-en,"Income and Capital under a Trust of Corporate Stock, 1923. Columbia Law Review [online], Vol. 23, no. 4, p. 369. DOI 10.2307/1112585. Available from: http://dx.doi.org/10.2307/1112585"
10.1007/978-1-349-16246-8_1,4,chicago-annotated-bibliography,"Thirlwall, A. P. “Balance-of-Payments Accounting and the Foreign-Exchange Market.” Balance-of-Payments Theory and the United Kingdom Experience (1980): 1–47. doi:10.1007/978-1-349-16246-8_1."
10.1007/978-1-349-16246-8_1,4,acm-sig-proceedings,"[1]Thirlwall, A.P. 1980. Balance-of-Payments Accounting and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience. (1980), 1–47."
10.1007/978-1-349-16246-8_1,4,american-medical-association,1. Thirlwall AP. Balance-of-Payments Accounting and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience. 1980:1–47. doi:10.1007/978-1-349-16246-8_1.
10.1007/978-1-349-16246-8_1,4,turabian-fullnote-bibliography,"Thirlwall, A. P. “Balance-of-Payments Accounting and the Foreign-Exchange Market.” Balance-of-Payments Theory and the United Kingdom Experience (1980): 1–47. http://dx.doi.org/10.1007/978-1-349-16246-8_1."
10.1007/978-1-349-16246-8_1,4,iso690-author-date-en,"THIRLWALL, A. P., 1980, Balance-of-Payments Accounting and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience [online]. 1980. P. 1–47. DOI 10.1007/978-1-349-16246-8_1. Available from: http://dx.doi.org/10.1007/978-1-349-16246-8_1"
10.1007/978-1-349-16246-8_1,4,ieee,"[1]A. P. Thirlwall, “Balance-of-Payments Accounting and the Foreign-Exchange Market,” Balance-of-Payments Theory and the United Kingdom Experience, pp. 1–47, 1980."
10.1007/978-1-349-16246-8_1,4,apa,"Thirlwall, A. P. (1980). Balance-of-Payments Accountingg and the Foreign-Exchange Market. Balance-of-Payments Theory and the United Kingdom Experience, 1–47. doi:10.1007/978-1-349-16246-8_1"
10.18087/rhj.2017.4.2367,5,american-society-of-mechanical-engineers,"[1] Kuzmina N. M., and Maximov N. I., 2017, “Possibilities of providing high-tech health care in the Russian Federation for patients with combined heart disease (case report),” Russian Heart Journal, 17(4), pp. 302–304."
10.18087/rhj.2017.4.2367,5,modern-humanities-research-association,"Kuzmina, N. M., and N. I. Maximov, ‘Possibilities of Providing High-Tech Health Care in the Russian Federation for Patients with Combined Heart Disease (case Report)’, Russian Heart Journal, 17 (2017), 302–304 <doi:10.18087/rhj.2017.4.2367>"
10.18087/rhj.2017.4.2367,5,american-sociological-association,"Kuzmina, N. M., and N. I. Maximov. 2017. “Possibilities of Providing High-Tech Health Care in the Russian Federation for Patients with Combined Heart Disease (case Report).” Russian Heart Journal 17(4):302–4. Retrieved (http://dx.doi.org/10.18087/rhj.2017.4.2367)."
10.18087/rhj.2017.4.2367,5,american-chemical-society-author-date,"Kuzmina, N. M.; Maximov, N. I. Possibilities of Providing High-Tech Health Care in the Russian Federation for Patients with Combined Heart Disease (case Report). Russian Heart Journal 2017, 17, 302–304."
10.18087/rhj.2017.4.2367,5,american-medical-association,"1. Kuzmina NM, Maximov NI. Possibilities of providing high-tech health care in the Russian Federation for patients with combined heart disease (case report). Russian Heart Journal. 2017;17(4):302–304. doi:10.18087/rhj.2017.4.2367."
10.18087/rhj.2017.4.2367,5,modern-language-association,"Kuzmina, N. M. et al. “Possibilities of Providing High-Tech Health Care in the Russian Federation for Patients with Combined Heart Disease (case Report).” Russian Heart Journal 17.4 (2017): 302–304. Crossref. Web."
10.2466/pms.1987.65.1.121,6,american-chemical-society-author-date,"Beattie, R.; Parks, C.; Parks, J. Type a Behavior as a Function of Reversed Computer Activity. Perceptual and Motor Skills 1987, 65, 121–122."
10.2466/pms.1987.65.1.121,6,american-medical-association,"1. Beattie R, Parks C, Parks J. Type a Behavior as a Function of Reversed Computer Activity. Perceptual and Motor Skills. 1987;65(1):121–122. doi:10.2466/pms.1987.65.1.121."
10.2466/pms.1987.65.1.121,6,american-society-of-mechanical-engineers,"[1] Beattie R., Parks C., and Parks J., 1987, “Type a Behavior as a Function of Reversed Computer Activity,” Perceptual and Motor Skills, 65(1), pp. 121–122."
10.2466/pms.1987.65.1.121,6,acm-sig-proceedings,"[1]Beattie, R. et al. 1987. Type a Behavior as a Function of Reversed Computer Activity. Perceptual and Motor Skills. 65, 1 (Aug. 1987), 121–122."
10.2466/pms.1987.65.1.121,6,iso690-author-date-en,"BEATTIE, Richard, PARKS, Cherri and PARKS, James, 1987, Type a Behavior as a Function of Reversed Computer Activity. Perceptual and Motor Skills [online]. August 1987. Vol. 65, no. 1, p. 121–122. DOI 10.2466/pms.1987.65.1.121. Available from: http://dx.doi.org/10.2466/pms.1987.65.1.121"
10.2466/pms.1987.65.1.121,6,apa,"Beattie, R., Parks, C., & Parks, J. (1987). Type a Behavior as a Function of Reversed Computer Activity. Perceptual and Motor Skills, 65(1), 121–122. doi:10.2466/pms.1987.65.1.121"
10.2466/pms.1987.65.1.121,6,chicago-annotated-bibliography,"Beattie, Richard, Cherri Parks, and James Parks. “Type a Behavior as a Function of Reversed Computer Activity.” Perceptual and Motor Skills 65, no. 1 (August 1987): 121–122. doi:10.2466/pms.1987.65.1.121."
10.2466/pms.1987.65.1.121,6,mcgill-en,"Beattie, Richard, Cherri Parks & James Parks. “Type a Behavior as a Function of Reversed Computer Activity” (1987) 65:1 Perceptual and Motor Skills 121, online: <http://dx.doi.org/10.2466/pms.1987.65.1.121>."
10.2466/pms.1987.65.1.121,6,american-sociological-association,"Beattie, Richard, Cherri Parks, and James Parks. 1987. “Type a Behavior as a Function of Reversed Computer Activity.” Perceptual and Motor Skills 65(1):121–22. Retrieved (http://dx.doi.org/10.2466/pms.1987.65.1.121)."
10.1021/np200780m,7,american-society-of-mechanical-engineers,"[1] Johansen K. T., Wubshet S. G., Nyberg N. T., and Jaroszewski J. W., 2011, “From Retrospective Assessment to Prospective Decisions in Natural Product Isolation: HPLC-SPE-NMR Analysis ofCarthamus oxyacantha,” Journal of Natural Products, 74(11), pp. 2454–2461."
10.1021/np200780m,7,chicago-annotated-bibliography,"Johansen, Kenneth T., Sileshi G. Wubshet, Nils T. Nyberg, and Jerzy W. Jaroszewski. “From Retrospective Assessment to Prospective Decisions in Natural Product Isolation: HPLC-SPE-NMR Analysis ofCarthamus Oxyacantha.” Journal of Natural Products 74, no. 11 (November 28, 2011): 2454–2461. doi:10.1021/np200780m."
10.1021/np200780m,7,modern-language-association,"Johansen, Kenneth T. et al. “From Retrospective Assessment to Prospective Decisions in Natural Product Isolation: HPLC-SPE-NMR Analysis ofCarthamus Oxyacantha.” Journal of Natural Products 74.11 (2011): 2454–2461. Crossref. Web."
10.1021/np200780m,7,acm-sig-proceedings,"[1]Johansen, K.T. et al. 2011. From Retrospective Assessment to Prospective Decisions in Natural Product Isolation: HPLC-SPE-NMR Analysis ofCarthamus oxyacantha. Journal of Natural Products. 74, 11 (Nov. 2011), 2454–2461."
10.1093/annonc/mdw374.46,8,american-society-of-mechanical-engineers,"[1] Weberpals J., Clancy A., Lo B., Sekhon H., Dimitroulakos J., Goss G., Spaans J., and Duciaume M., 2016, “Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection,” Annals of Oncology, 27(suppl_6)."
10.1093/annonc/mdw374.46,8,american-sociological-association,"Weberpals, J. et al. 2016. “Defining the Genomicc Landscape of Vulvar Squamous Cell Carcinoma (VSCC) Using Next Generation Sequencing: The Role of HPV Infection.” Annals of Oncology 27(suppl_6). Retrieved (http://dx.doi.org/10.1093/annonc/mdw374.46)."
10.1093/annonc/mdw374.46,8,council-of-science-editors,"1. Weberpals J, Clancy A, Lo B, Sekhon H, Dimitroulakos J, Goss G, Spaans J, Duciaume M. Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection. Annals of Oncology [Internet]. 2016 October;27(suppl_6). Available from: http://dx.doi.org/10.1093/annonc/mdw374.46"
10.1093/annonc/mdw374.46,8,modern-language-association,"Weberpals, J. et al. “Defining the Genomic Landscape of Vulvar Squamous Cell Carcinoma (VSCC) Using Next Generation Sequencing: The Role of HPV Infection.” Annals of Oncology 27.suppl_6 (2016): n. pag. Crossref. Web."
10.1093/annonc/mdw374.46,8,apa,"Weberpals, J., Clancy, A., Lo, B., Sekhon, H., Dimitroulakos, J., Goss, G., … Duciaume, M. (2016). Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection. Annals of Oncology, 27(suppl_6). doi:10.1093/annonc/mdw374.46"
10.1093/annonc/mdw374.46,8,american-chemical-society-author-date,"Weberpals, J.; Clancy, A.; Lo, B.; Sekhon, H.; Dimitroulakos, J.; Goss, G.; Spaans, J.; Duciaume, M. Defining the Genomic Landscape of Vulvar Squamous Cell Carcinoma (VSCC) Using Next Generation Sequencing: The Role of HPV Infection. Annals of Oncology 2016, 27."
10.1093/annonc/mdw374.46,8,ieee,"[1]J. Weberpals, A. Clancy, B. Lo, H. Sekhon, J. Dimitroulakos, G. Goss, J. Spaans, and M. Duciaume, “Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection,” Annals of Oncology, vol. 27, no. suppl_6, Oct. 2016."
10.1093/annonc/mdw374.46,8,american-medical-association,"1. Weberpals J, Clancy A, Lo B, et al. Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection. Annals of Oncology. 2016;27(suppl_6). doi:10.1093/annonc/mdw374.46."
10.1093/annonc/mdw374.46,8,iso690-author-date-en,"WEBERPALS, J., CLANCY, A., LO, B., SEKHON, H., DIMITROULAKOS, J., GOSS, G., SPAANS, J. and DUCIAUME, M., 2016, Defining the genomic landscape of vulvar squamous cell carcinoma (VSCC) using next generation sequencing: the role of HPV infection. Annals of Oncology [online]. October 2016. Vol. 27, no. suppl_6. DOI 10.1093/annonc/mdw374.46. Available from: http://dx.doi.org/10.1093/annonc/mdw374.46"
10.1037/h0069727,9,turabian-fullnote-bibliography,"Rosenow, Curt. “Is Lack of Intelligence the Chief Cause of Delinquency?” Psychological Review 27, no. 2 (1920): 147–157. http://dx.doi.org/10.1037/h0069727."
10.1037/h0069727,9,modern-humanities-research-association,"Rosenow, Curt, ‘Is Lack of Intelligence the Chief Cause of Delinquency?’, Psychological Review, 27 (1920), 147–157 <doi:10.1037/h0069727>"
10.1037/h0069727,9,chicago-annotated-bibliography,"Rosenow, Curt. “Is Lack of Intelligence the Chief Cause of Delinquency?” Psychological Review 27, no. 2 (1920): 147–157. doi:10.1037/h0069727."
10.1037/h0069727,9,mcgill-en,"Rosenow, Curt. “Is lack of intelligence the chief cause of delinquency?” (1920) 27:2 Psychological Review 147, online: <http://dx.doi.org/10.1037/h0069727>."
10.1037/h0069727,9,american-sociological-association,"Rosenow, Curt. 1920. “Is Lack of Intelligencee the Chief Cause of Delinquency?” Psychological Review 27(2):147–57. Retrieved (http://dx.doi.org/10.1037/h0069727)."
10.1037/h0069727,9,apa,"Rosenow, C. (1920). Is lack of intelligence the chief cause of delinquency? Psychological Review, 27(2), 147–157. doi:10.1037/h0069727"
10.1037/h0069727,9,american-chemical-society-author-date,"Rosenow, C. Is Lack of Intelligence the Chief Cause of Delinquency? Psychological Review 1920, 27, 147–157."
10.1074/jbc.m604373200,10,modern-language-association,"Chini, Claudia C. S., and Junjie Chen. “Repeated Phosphopeptide Motifs in Human Claspin Are Phosphorylated by Chk1 and Mediate Claspin Function.” Journal of Biological Chemistry 281.44 (2006): 33276–33282. Crossref. Web."
10.1074/jbc.m604373200,10,american-medical-association,"1. Chini CCS, Chen J. Repeated Phosphopeptide Motifs in Human Claspin Are Phosphorylated by Chk1 and Mediate Claspin Function. Journal of Biological Chemistry. 2006;281(44):33276–33282. doi:10.1074/jbc.m604373200."
10.1074/jbc.m604373200,10,modern-humanities-research-association,"Chini, Claudia C. S., and Junjie Chen, ‘Repeated Phosphopeptide Motifs in Human Claspin Are Phosphorylated by Chk1 and Mediate Claspin Function’, Journal of Biological Chemistry, 281 (2006), 33276–33282 <doi:10.1074/jbc.m604373200>"
10.1074/jbc.m604373200,10,iso690-author-date-en,"CHINI, Claudia C. S. and CHEN, Junjie, 2006, Repeated Phosphopeptide Motifs in Human Claspin Are Phosphorylated by Chk1 and Mediate Claspin Function. Journal of Biological Chemistry [online]. 8 September 2006. Vol. 281, no. 44, p. 33276–33282. DOI 10.1074/jbc.m604373200. Available from: http://dx.doi.org/10.1074/jbc.m604373200"
10.1074/jbc.m604373200,10,chicago-annotated-bibliography,"Chini, Claudia C. S., and Junjie Chen. “Repeated Phosphopeptide Motifs in Human Claspin Are Phosphorylated by Chk1 and Mediate Claspin Function.” Journal of Biological Chemistry 281, no. 44 (September 8, 2006): 33276–33282. doi:10.1074/jbc.m604373200."
